,Fvar,frequency,frequency_strength,slope,R,std,mean,median,name
253,,,,,,,,,188979043975-light-curves
254,,,,,,,,,661434988542-light-curves
255,,,,,,,,,240518258007-light-curves
256,,,,,,,,,120259928318-light-curves
257,,,,,,,,,661434633969-light-curves(1)
258,,,,,,,,,481037251234-light-curves
259,,,,,,,,,661434891016-light-curves
260,,,,,,,,,661425713453-light-curves
261,,,,,,,,,661427279480-light-curves(1)
262,,,,,,,,,661425699190-light-curves
263,,,,,,,,,395137439992-light-curves
264,,,,,,,,,661425749112-light-curves
265,,,,,,,,,472446797200-light-curves
266,,,,,,,,,661434926374-light-curves
267,,,,,,,,,661434644121-light-curves
268,,,,,,,,,661434910939-light-curves
269,,,,,,,,,661434926387-light-curves
270,,,,,,,,,661426422771-light-curves
271,,,,,,,,,137439431563-light-curves
272,,,,,,,,,292058196857-light-curves
273,,,,,,,,,661426138150-light-curves
274,,,,,,,,,661434963330-light-curves
275,,,,,,,,,103079834480-light-curves
276,,,,,,,,,661425669162-light-curves
277,,,,,,,,,661430476780-light-curves
278,,,,,,,,,661430417501-light-curves
279,,,,,,,,,223339093581-light-curves
280,,,,,,,,,661430479852-light-curves
281,,,,,,,,,661431075355-light-curves
282,,,,,,,,,661425979962-light-curves
283,,,,,,,,,661432072057-light-curves
284,,,,,,,,,274878561040-light-curves
285,,,,,,,,,661432314802-light-curves
286,,,,,,,,,661434661038-light-curves
287,,,,,,,,,661437545841-light-curves
288,,,,,,,,,403728159733-light-curves
289,,,,,,,,,661431192040-light-curves
290,,,,,,,,,111669825173-light-curves
291,,,,,,,,,661434928848-light-curves
292,0.034369100612959155,,,,3.528270633496401,0.03301128958176749,0.9460884413916595,0.947409835933966,266288698682-light-curves
293,,,,,,,,,85899757957-light-curves
294,,,,,,,,,223338937393-light-curves
295,,,,,,,,,661434973554-light-curves
296,,,,,,,,,661425830205-light-curves
297,,,,,,,,,558345852421-light-curves
298,,,,,,,,,360777868899-light-curves
299,,,,,,,,,360777722767-light-curves
300,,,,,,,,,661434594059-light-curves
301,,,,,,,,,661431106270-light-curves
302,,,,,,,,,661431546071-light-curves
303,,,,,,,,,661434612909-light-curves
304,,,,,,,,,17180195489-light-curves
305,,,,,,,,,661429290112-light-curves
306,,,,,,,,,661434923211-light-curves
307,,,,,,,,,103080565323-light-curves(1)
308,,,,,,,,,661434599587-light-curves
309,,,,,,,,,395137050226-light-curves
310,,,,,,,,,25770632312-light-curves
311,,,,,,,,,661431588469-light-curves
312,,,,,,,,,661425753211-light-curves
313,,,,,,,,,661434979860-light-curves
314,,,,,,,,,214749499961-light-curves
315,,,,,,,,,197569191295-light-curves
316,,,,,,,,,77310868438-light-curves
317,,,,,,,,,661427488734-light-curves
318,,,,,,,,,566936709468-light-curves
319,,,,,,,,,68720627927-light-curves
320,,,,,,,,,661434707166-light-curves
321,,,,,,,,,515396859069-light-curves
322,,,,,,,,,609886083138-light-curves
323,,,,,,,,,128849633917-light-curves
324,,,,,,,,,661425767172-light-curves
325,,,,,,,,,266289118293-light-curves
326,,,,,,,,,661430798814-light-curves
327,,,,,,,,,403727615911-light-curves
328,,,,,,,,,661425700553-light-curves
329,,,,,,,,,661426173316-light-curves
330,,,,,,,,,661430398603-light-curves
331,,,,,,,,,171798699622-light-curves
332,,,,,,,,,386548016474-light-curves
333,,,,,,,,,188979256737-light-curves
334,,,,,,,,,661434644122-light-curves
335,,,,,,,,,661431307609-light-curves
336,,,,,,,,,335008136646-light-curves
337,,,,,,,,,609885559173-light-curves
