,name,ID,ra,dec
146,NGC 3962,661431145421,11 54 40.1,-13 58 30
147,MARK  620,128849731792,06 50 08.7,+60 50 45
148,SDSS J14461-0013,-1,14 46 11.2,-00 13 23
149,NGC 6384,661431933652,17 32 24.3,+07 03 37
150,NGC 2974,661425958134,09 42 33.3,-03 41 54
151,MARK  313,266288698682,23 02 01.0,+15 57 53
152,SDSS J15083+0147,661430520282,15 08 22.7,+01 47 55
153,Q 1102+4641,661427248471,11 05 41.7,+46 24 50
154,NGC 7213,403728102471,22 09 16.3,-47 10 00
155,NGC 6951,661427483512,20 37 14.4,+66 06 20
156,NGC 1365,661430550236,03 33 36.4,-36 08 24
157,ESO 005-G04,661425549368,06 05 42.0,-86 37 54
158,NGC 5861,661431325014,15 09 16.7,-11 19 20
159,NGC 4450,171799020346,12 28 29.6,+17 05 05
160,NGC 4105,661431156648,12 06 40.8,-29 45 36
161,ESO 325-IG41,661432322031,13 59 05.7,-42 30 27
162,NGC 5087,523986627217,13 20 25.0,-20 36 39
163,NPM1G-10.0425,661432303566,12 25 49.3,-11 03 06
164,ESO 108-IG17,652835212478,22 10 47.4,-66 52 11
165,NGC 3259,661427476258,10 32 34.9,+65 02 27
166,SDSS J01286-0040,-1,01 28 38.5,-00 40 31
167,NGC 7410,661431842747,22 55 01.0,-39 39 42
168,NGC  289,661425709118,00 52 42.2,-31 12 22
169,NGC 5322,661430607882,13 49 15.3,+60 11 26
170,NVSS J11501-0402,-1,11 50 09.4,-04 02 32
171,NGC 5678,34361013180,14 32 05.6,+57 55 17
172,UGC  6728,661430304024,11 45 16.1,+79 40 54
173,NGC 5377,103079438743,13 56 16.7,+47 14 08
174,NGC 2855,300648985088,09 21 27.5,-11 54 33
175,SDSS J03043-0659,-1,03 04 20.9,-06 59 46
176,NGC 7743,309238840845,23 44 21.4,+09 56 03
177,NGC 2907,661431019457,09 31 36.6,-16 44 04
178,NGC 2377,661432078326,07 24 56.9,-09 39 34
179,UGC  6192,661427446877,11 09 12.4,+61 23 46
180,NGC 5078,661431227142,13 19 50.0,-27 24 36
181,NGC 4501,661426489702,12 31 59.3,+14 25 13
182,NGC 4180,661426292533,12 13 03.0,+07 02 20
183,NGC 4418,661426034782,12 26 54.7,-00 52 42
184,MARK  759,180388657079,12 10 37.6,+16 01 58
185,NGC 5953,231929336310,15 34 32.3,+15 11 38
186,NGC 2325,532576412113,07 02 40.4,-28 41 49
187,NGC 1161,661430773886,03 01 14.2,+44 53 50
188,NGC 7479,661426434481,23 04 56.8,+12 19 25
189,NGC 5506,352187380967,14 13 14.8,-03 12 26
190,XMM J00329-4309,-1,00 32 55.3,-43 09 48
191,NGC 2110,309237738223,05 52 11.4,-07 27 23
192,SDSS J14582-0106,-1,14 58 13.1,-01 06 13
193,NGC 4235,171799094675,12 17 09.9,+07 11 29
194,NGC 7135,575526084438,21 49 46.0,-34 52 35
195,NGC 1266,661430474500,03 16 00.7,-02 25 38
196,NGC 6000,266289118293,15 49 49.6,-29 23 11
197,NGC 3312,661431075389,10 37 02.5,-27 33 56
198,NGC 5371,661427135374,13 55 39.9,+40 27 43
